feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.Clostridium..innocuum.group	Phase	Late	-2.88104531005192	0.365427980422037	46	11	1.27290589966306e-09	1.59113237457882e-07
ASV_37	Phase	Late	4.09265555694998	0.698869692904436	46	42	7.79822763464231e-07	4.2755707121937e-05
Family.XIII.AD3011.group	Phase	Late	1.86842525446328	0.323255608172392	46	44	1.02613697092649e-06	4.2755707121937e-05
Bifidobacterium	Phase	Late	3.50948212350804	0.671280269415411	46	45	5.95971145236441e-06	0.00014899278630911
Escherichia.Shigella	Phase	Late	-4.06569332475809	0.770139782493241	46	29	5.13352181823402e-06	0.00014899278630911
Coprococcus	Phase	Late	2.41485165112477	0.470608150222579	46	45	8.03499852728974e-06	0.00016739580265187
Lachnospiraceae.FCS020.group	Phase	Late	2.19430124106133	0.489833559200285	46	42	6.21031928466195e-05	0.00110898558654678
X.Ruminococcus..torques.group	Phase	Late	2.91874150820892	0.684751913146138	46	44	0.000121585764657344	0.001899777572771
ASV_26	Phase	Late	2.67996197358866	0.662362388086249	46	45	0.000229747745482088	0.00319094090947344
Blautia	Phase	Late	2.16801470838007	0.544617334314512	46	35	0.000288555850187505	0.00360694812734381
Colidextribacter	Phase	Late	1.74119109858099	0.455777093560194	46	43	0.000463901787982854	0.00527161122707788
Bacteroides	Phase	Late	-2.50030269105336	0.669670403860356	46	45	0.000597441268873784	0.00574462758532485
Parabacteroides	Phase	Late	-2.2283981274125	0.594946441208307	46	30	0.000577253229020061	0.00574462758532485
ASV_603	Phase	Late	-1.859892829265	0.503721986818605	46	24	0.000669331365908545	0.00597617290989772
Erysipelatoclostridium	Phase	Late	-1.66208938843469	0.46707986269427	46	37	0.000997431900130611	0.00831193250108843
Erysipelotrichaceae.UCG.003	Phase	Late	2.36445799266535	0.677359519389299	46	45	0.00119993751796922	0.00937451185913457
Faecalibacterium	Phase	Late	-1.53805060512833	0.449159389974614	46	46	0.00140686867739331	0.010344622627892
Paraprevotella	Phase	Late	-1.81001805140352	0.536185387749988	46	16	0.00166865576649628	0.0115878872673353
Moryella	Phase	Late	1.58291199842509	0.509671046631012	46	36	0.00350879211142832	0.0230841586278179
DTU089	Phase	Late	-1.80225501313392	0.589681138128407	46	29	0.00400630038296107	0.0250393773935067
Enterococcus	Phase	Late	-1.75236557761504	0.597925592186816	46	14	0.0056081539374918	0.0333818686755464
Flavonifractor	Phase	Late	-1.56517525790459	0.539737310447524	46	28	0.00607616738845488	0.0345236783434936
ASV_491	Phase	Late	-1.29969635150786	0.47237889343467	46	24	0.00893559379580841	0.0485630097598283
ASV_318	Phase	Late	1.36852147638463	0.503687225961793	46	38	0.00975554736530438	0.050810142527627
Catenibacillus	Phase	Late	-0.928904137950781	0.346822554947051	46	21	0.0107560562004913	0.0537802810024565
Prevotella	Phase	Late	-1.29650913863332	0.497107939134294	46	18	0.0128320186114455	0.0590896188242647
Lachnospiraceae.UCG.008	Phase	Late	-1.21650824772214	0.471355490706893	46	23	0.0137087915672294	0.0590896188242647
ASV_400	Phase	Late	1.55365429631726	0.600380383608377	46	30	0.0133971312636221	0.0590896188242647
Parasutterella	Phase	Late	-0.831846661234373	0.319935287657707	46	11	0.0130895430995402	0.0590896188242647
ASV_450	Phase	Late	1.19069878799362	0.478693081140493	46	27	0.0172243757762446	0.0701721965555929
Eisenbergiella	Phase	Late	-1.16786465928034	0.470516666120616	46	16	0.017402704745787	0.0701721965555929
Coprobacter	Phase	Late	-0.981470793323039	0.403395028631748	46	16	0.0195409823831646	0.0757148591757905
ASV_1004	Phase	Late	-0.794907052377987	0.327794616879893	46	11	0.0199887228224087	0.0757148591757905
Butyricicoccus	Phase	Late	-0.839392261324619	0.35033343307477	46	46	0.0214166851568299	0.0787378130765805
Dialister	Phase	Late	-1.46474120496331	0.621331091783781	46	22	0.0235012627204075	0.0839330811443126
Phascolarctobacterium	Phase	Late	-1.52412872953456	0.681143115480717	46	34	0.0310094071118214	0.100718793489883
Collinsella	Phase	Late	0.982302802748006	0.435927288085272	46	29	0.0299225247112114	0.100718793489883
Defluviitaleaceae.UCG.011	Phase	Late	1.19232503797299	0.527831183100472	46	35	0.0294945508041338	0.100718793489883
X.Eubacterium..xylanophilum.group	Phase	Late	1.25772972249327	0.563595500747239	46	29	0.0314242635688435	0.100718793489883
Lachnospiraceae.ND3007.group	Phase	Late	-1.84582273235313	0.852488051898918	46	39	0.0361599698444328	0.112999905763852
UCG.005	Phase	Late	1.09401189229799	0.511298595253889	46	40	0.0386250477170321	0.11775929182022
ASV_46	Phase	Late	0.507407933791568	0.247575376075557	46	46	0.0471588363865074	0.137089640658452
Barnesiella	Phase	Late	-0.818176511100277	0.398543949912483	46	17	0.046823683658664	0.137089640658452
Subdoligranulum	Phase	Late	-1.0260597973555	0.514231669125746	46	46	0.0528265711587237	0.150075486246374
Roseburia	Phase	Late	1.20357478683663	0.61410453539519	46	37	0.0569976140017307	0.156668817063254
ASV_257	Phase	Late	0.790370837571604	0.404104246154612	46	35	0.0576541246792776	0.156668817063254
Christensenella	Phase	Late	-0.583199075568108	0.305560166973138	46	15	0.0636721171228008	0.169340737028726
Christensenellaceae.R.7.group	Phase	Late	1.08697588329826	0.573580914521451	46	37	0.0654868784924499	0.170538746074088
ASV_1	Phase	Late	-0.463333881702578	0.249083213837293	46	46	0.0703950059941431	0.179579096923835
Lachnospiraceae.UCG.001	Phase	Late	1.00073671285482	0.541395213681577	46	27	0.0720945548012033	0.180236387003008
ASV_138	Phase	Late	0.742551678859122	0.416084170105773	46	42	0.0820480107365218	0.201098065530691
Oribacterium	Phase	Late	0.617414965939579	0.352122654853989	46	11	0.0873598855553657	0.209999724892706
GCA.900066575	Phase	Late	-0.845685794460695	0.485401385781279	46	25	0.0892069324282857	0.210393708557278
Gemella	Phase	Late	-0.73365262773233	0.430459355744127	46	17	0.0962091463268463	0.22270635723807
Lachnoclostridium	Phase	Late	0.979460211632909	0.593689921583094	46	44	0.106909911505802	0.242977071604095
Veillonella	Phase	Late	-0.852135737607227	0.523222634929741	46	23	0.111400255414095	0.248661284406461
X.Eubacterium..brachy.group	Phase	Late	-0.475558232743606	0.305910159113727	46	14	0.128070636300234	0.280856658553144
Eggerthella	Phase	Late	-0.69703963177689	0.456333004201361	46	31	0.13469677356552	0.290294770615345
Lactococcus	Phase	Late	-1.28766132701145	0.849080407719488	46	17	0.137272809221444	0.290832222926788
Alistipes	Phase	Late	-1.04402640098259	0.700606054299984	46	42	0.144160152736664	0.295410149050541
Oscillospira	Phase	Late	-0.559693754962513	0.37545723654308	46	19	0.143994087566104	0.295410149050541
Hungatella	Phase	Late	-0.830931501140043	0.564617912064065	46	13	0.149009722612238	0.300422827847254
Akkermansia	Phase	Late	1.61451148318066	1.1457193368563	46	34	0.166642327744523	0.330639539175641
Gordonibacter	Phase	Late	0.676832912867197	0.487200250313323	46	33	0.172538988065753	0.336990211065925
X.Eubacterium..fissicatena.group	Phase	Late	0.669732515089015	0.49533217575161	46	16	0.18405486607463	0.353951665528135
Anaerostipes	Phase	Late	0.656504315906529	0.500907741706882	46	46	0.19756271361879	0.368587152273863
Odoribacter	Phase	Late	-0.580726125951299	0.440786388143586	46	33	0.195294312308107	0.368587152273863
UCG.002	Phase	Late	0.874935416762605	0.690227797244634	46	40	0.212359715504861	0.390367124089817
ASV_765	Phase	Late	-0.265851442775043	0.236067728183009	46	10	0.266965033842588	0.483081833869961
Paludicola	Phase	Late	-0.400206321198117	0.358144520307159	46	19	0.270525826967178	0.483081833869961
Lachnospiraceae.NK4A136.group	Phase	Late	0.633350143387526	0.582695678684197	46	26	0.283645941845318	0.499376658178377
Pseudoflavonifractor	Phase	Late	0.369257257319001	0.352244111412522	46	21	0.300893600621252	0.522384723300784
Negativibacillus	Phase	Late	-0.553078775525137	0.547502546962091	46	33	0.318595362025264	0.545540003467918
X.Eubacterium..eligens.group	Phase	Late	0.745400585387766	0.754404461497241	46	23	0.329172619333754	0.548621032222924
Family.XIII.UCG.001	Phase	Late	0.378404766930932	0.380395995837401	46	28	0.325760454691959	0.548621032222924
Senegalimassilia	Phase	Late	0.41084557789098	0.443878950952726	46	19	0.360338123429755	0.584964486087264
Methanobrevibacter	Phase	Late	-0.320813655089533	0.344346004635444	46	14	0.357217721601474	0.584964486087264
X.Eubacterium..ventriosum.group	Phase	Late	-0.615694830331806	0.681388156841748	46	45	0.371598754123711	0.595510823916204
ASV_102	Phase	Late	-0.346987042136621	0.41063167370984	46	46	0.40323410851849	0.620061397939218
X.Eubacterium..siraeum.group	Phase	Late	0.620835166279698	0.732565238457423	46	34	0.401876532292023	0.620061397939218
Lachnospiraceae.UCG.010	Phase	Late	-0.47631009638708	0.561813822632593	46	21	0.401672405881983	0.620061397939218
ASV_657	Phase	Late	0.34690733951865	0.413661307325825	46	19	0.406760277048127	0.620061397939218
Solobacterium	Phase	Late	-0.219547311565537	0.269779345442797	46	12	0.42068044042455	0.633554880157455
CAG.56	Phase	Late	-0.577314812460969	0.725595238780297	46	30	0.431035833233634	0.641422370883384
ASV_191	Phase	Late	0.507169301352517	0.661616704890735	46	19	0.447915463768434	0.658699211424167
Lachnospiraceae.NC2004.group	Phase	Late	0.528686746703436	0.7456106622355	46	45	0.482024262867701	0.672853948772007
Intestinimonas	Phase	Late	0.522977642229711	0.723527075470472	46	26	0.474071142846694	0.672853948772007
Intestinibacter	Phase	Late	-0.341118750014137	0.482663009022622	46	35	0.483915458222752	0.672853948772007
CAG.352	Phase	Late	0.328078957321797	0.470634221437216	46	10	0.489837674706021	0.672853948772007
Butyricimonas	Phase	Late	-0.224394935155671	0.32085004350097	46	14	0.488460035972805	0.672853948772007
Turicibacter	Phase	Late	-0.402925738920507	0.545766722033598	46	21	0.464739525049623	0.672853948772007
Anaerofilum	Phase	Late	-0.189725366307789	0.279536253909165	46	12	0.501292867400811	0.681104439403276
ASV_510	Phase	Late	-0.307468206325835	0.467138244169107	46	37	0.51425250088943	0.691199597969664
Romboutsia	Phase	Late	-0.498871366352366	0.777894690441415	46	38	0.525040813579772	0.698192571249696
ASV_47	Phase	Late	0.290425762729971	0.466180832487781	46	44	0.536891745005019	0.706436506585552
UBA1819	Phase	Late	-0.256044647817821	0.428559792083562	46	40	0.553640296221284	0.716065949272029
Candidatus.Soleaferrea	Phase	Late	0.24139280189461	0.406299626856541	46	30	0.555667176635094	0.716065949272029
Monoglobus	Phase	Late	0.286081655367493	0.497311867840211	46	46	0.568048442401606	0.71723288182021
Clostridium.sensu.stricto.1	Phase	Late	-0.487625168717271	0.842749908975008	46	21	0.566060919895835	0.71723288182021
Enteroscipio	Phase	Late	0.193963552325953	0.349489928514008	46	11	0.582046674426073	0.727558343032591
Shuttleworthia	Phase	Late	0.281921063685186	0.530202690704113	46	24	0.59791181506943	0.736808047993922
Parvimonas	Phase	Late	-0.243145585012581	0.461485843335688	46	14	0.60123536716304	0.736808047993922
Lachnospira	Phase	Late	0.285982482641363	0.611925685366093	46	41	0.642817903583894	0.780118815028997
Ruminococcus	Phase	Late	-0.273668685612326	0.769846166832442	46	46	0.724111351552717	0.841559454339008
Streptococcus	Phase	Late	0.218171660162053	0.596288106859918	46	46	0.716415168335616	0.841559454339008
NK4A214.group	Phase	Late	0.21766936736591	0.567535522767253	46	38	0.703397908631682	0.841559454339008
Bilophila	Phase	Late	-0.137041718930362	0.38988607765864	46	11	0.727107368548903	0.841559454339008
Atopobium	Phase	Late	0.123195468796539	0.348179842217748	46	19	0.725356424167361	0.841559454339008
Fournierella	Phase	Late	0.160835314612647	0.484801178025771	46	30	0.741826445300827	0.850718400574343
Holdemania	Phase	Late	-0.161402515560273	0.601302629518811	46	33	0.789739226246199	0.897430938916135
Frisingicoccus	Phase	Late	-0.0905759881473276	0.376527232181661	46	11	0.811156084792394	0.913464059450895
ASV_684	Phase	Late	-0.0965297915107099	0.434252550230055	46	12	0.825242034584667	0.921029056456101
ASV_3	Phase	Late	0.0693738189115982	0.370721080491677	46	46	0.852505826680597	0.926636768131084
Papillibacter	Phase	Late	0.0787931718059344	0.386623218239614	46	33	0.839555156515933	0.926636768131084
TM7x	Phase	Late	-0.077488550195772	0.40569601475477	46	16	0.849497767713521	0.926636768131084
X.Eubacterium..ruminantium.group	Phase	Late	0.0901027090781622	0.588280869346588	46	10	0.879056623457019	0.945597739169976
UCG.009	Phase	Late	-0.0823643472996169	0.566179698841564	46	28	0.885079483863098	0.945597739169976
Tyzzerella	Phase	Late	-0.0841217485314216	0.727882922391489	46	35	0.908583249983879	0.954394170151133
Sutterella	Phase	Late	-0.0526130598848765	0.429412099458193	46	12	0.90310996021863	0.954394170151133
X.Eubacterium..hallii.group	Phase	Late	0.0473819549570269	0.602676149947822	46	46	0.937734115422695	0.972945273175797
Oscillibacter	Phase	Late	0.0342298303445766	0.538019418588252	46	27	0.949594586619578	0.972945273175797
UCG.003	Phase	Late	-0.0257784784719984	0.38958302817659	46	12	0.947542700654454	0.972945273175797
Rothia	Phase	Late	-0.0207323502484321	0.456131268890431	46	20	0.963975166106911	0.979649559051739
Actinomyces	Phase	Late	-0.00721427231322508	0.4599607003676	46	29	0.987564771325082	0.993407912846166
X.Eubacterium..nodatum.group	Phase	Late	0.0028732612790762	0.34562046433667	46	14	0.993407912846166	0.993407912846166
