"Taxon","N_Phases_Keystone","Phases","Mean_Betweenness"
"ASV_212",3,"Late, Mid, Post-Mission",6439.57398948556
"ASV_162",3,"Late, Post-Mission, Pre-Mission",6321.97248075265
"ASV_45",3,"Early, Late, Mid",6160.02866991947
"ASV_282",3,"Early, Late, Mid",4599.69998459138
"ASV_37",3,"Late, Mid, Post-Mission",4502.16357464721
"ASV_111",3,"Late, Mid, Post-Mission",4093.52947944071
"ASV_193",3,"Early, Late, Pre-Mission",3813.12530788955
"ASV_671",3,"Late, Mid, Post-Mission",2143.6384511195
"ASV_920",3,"Late, Mid, Post-Mission",1732.03432506726
"ASV_307",3,"Late, Mid, Post-Mission",1015.67491053824
"ASV_302",3,"Late, Mid, Post-Mission",967.141066632433
"ASV_456",3,"Late, Mid, Post-Mission",957.430417002484
"ASV_649",3,"Late, Mid, Post-Mission",831.518838361122
"ASV_632",3,"Late, Mid, Post-Mission",827.290932922474
"ASV_336",3,"Late, Mid, Post-Mission",706.436334666664
"ASV_738",3,"Late, Mid, Post-Mission",391.759504203818
"ASV_370",2,"Late, Mid",11034.1654949607
"ASV_65",2,"Early, Pre-Mission",7506.37352234017
"ASV_89",2,"Mid, Post-Mission",6730.86184762904
"ASV_475",2,"Early, Mid",5747.19679217942
"ASV_116",2,"Early, Mid",5688.98847730314
"ASV_530",2,"Early, Mid",5245.01951768251
"ASV_150",2,"Late, Post-Mission",5011.95534021843
"ASV_298",2,"Early, Mid",4909.18948834355
"ASV_73",2,"Early, Mid",4689.37711353308
"ASV_165",2,"Late, Post-Mission",4675.96160070431
"ASV_5",2,"Late, Pre-Mission",4511.50904153065
"ASV_196",2,"Mid, Post-Mission",4439.37454721945
"ASV_119",2,"Late, Mid",4241.72733384344
"ASV_157",2,"Late, Mid",4179.04697863568
"ASV_52",2,"Early, Pre-Mission",4096.59306442256
"ASV_215",2,"Late, Mid",4091.29079220393
"ASV_414",2,"Late, Mid",4078.40762639545
"ASV_141",2,"Late, Post-Mission",3687.34772786379
"ASV_7",2,"Early, Post-Mission",3358.5256296984
"ASV_789",2,"Late, Post-Mission",3338.82421614578
"ASV_72",2,"Late, Pre-Mission",3289.52751909264
"ASV_245",2,"Late, Post-Mission",3274.61224120488
"ASV_479",2,"Early, Late",3265.80211650343
"ASV_99",2,"Late, Post-Mission",3223.66361471284
"ASV_394",2,"Early, Late",3210.36503881818
"ASV_389",2,"Late, Post-Mission",3135.95004702047
"ASV_12",2,"Early, Post-Mission",3023.62648642283
"ASV_39",2,"Early, Pre-Mission",3013.58632043093
"ASV_17",2,"Early, Pre-Mission",2933.51224455576
"ASV_361",2,"Post-Mission, Pre-Mission",2857.52969508891
"ASV_364",2,"Early, Late",2785.83399963473
"ASV_25",2,"Mid, Pre-Mission",2764.41895587358
"ASV_235",2,"Early, Late",2641.64111014496
"ASV_4",2,"Post-Mission, Pre-Mission",2206.92293528915
"ASV_21",2,"Early, Pre-Mission",2152.64022940465
"ASV_190",2,"Early, Late",1932.80735205816
"ASV_69",2,"Post-Mission, Pre-Mission",1888.18787676482
"ASV_313",2,"Early, Post-Mission",1825.61240957012
"ASV_666",2,"Mid, Post-Mission",1580.54636534265
"ASV_331",2,"Mid, Post-Mission",1473.83090336172
"ASV_717",2,"Early, Mid",1432.61834689555
"ASV_971",2,"Late, Mid",1346.65008848579
"ASV_372",2,"Post-Mission, Pre-Mission",1263.94647130474
"ASV_377",2,"Early, Mid",1146.31386327435
"ASV_188",2,"Early, Mid",1050.6829863524
"ASV_117",2,"Mid, Post-Mission",1030.53615082861
"ASV_110",2,"Mid, Post-Mission",917.284522484508
"ASV_498",2,"Mid, Post-Mission",844.606558947787
"ASV_391",2,"Late, Mid",794.858029261578
"ASV_445",2,"Late, Post-Mission",778.115529284205
"ASV_810",2,"Late, Post-Mission",722.359360767686
"ASV_901",2,"Late, Post-Mission",672.866044141039
"ASV_564",2,"Late, Post-Mission",667.425588965575
"ASV_831",2,"Late, Post-Mission",624.637159599372
"ASV_273",2,"Late, Post-Mission",614.018021755968
"ASV_459",2,"Early, Mid",602.8535610988
"ASV_139",2,"Mid, Post-Mission",587.089707670566
"ASV_531",2,"Late, Post-Mission",530.968337003401
"ASV_461",2,"Early, Mid",491.065732140787
"ASV_347",2,"Early, Mid",423.336449188565
"ASV_265",2,"Early, Mid",356.782008679568
"ASV_405",2,"Early, Mid",348.184284076975
"ASV_358",2,"Early, Mid",326.462786231935
"ASV_76",1,"Pre-Mission",12798.2065130002
"ASV_248",1,"Mid",11492.3525234133
"ASV_9",1,"Pre-Mission",11148.2676975591
"ASV_132",1,"Early",8781.71977299662
"ASV_264",1,"Mid",8342.61503523198
"ASV_80",1,"Early",8239.29629437983
"ASV_775",1,"Late",7882.02007972365
"ASV_16",1,"Late",7446.65629527051
"ASV_81",1,"Mid",6907.81069570388
"ASV_93",1,"Late",6746.06070109421
"ASV_135",1,"Mid",6673.35026231036
"ASV_222",1,"Late",6439.7547488176
"ASV_419",1,"Early",6438.9512597381
"ASV_97",1,"Early",6401.92435987702
"ASV_543",1,"Late",5777.44024605185
"ASV_166",1,"Late",5753.59725794255
"ASV_40",1,"Mid",5666.31530909917
"ASV_206",1,"Early",5623.0903550659
"ASV_390",1,"Mid",5591.33654276474
"ASV_388",1,"Early",5434.2651542276
"ASV_224",1,"Early",5384.04935188495
"ASV_94",1,"Post-Mission",5242.56542617086
"ASV_294",1,"Late",5068.86580259734
"ASV_833",1,"Late",4977.70185659556
"ASV_589",1,"Early",4868.29813105826
"ASV_450",1,"Early",4865.28865517718
"ASV_757",1,"Late",4788.0884247893
"ASV_146",1,"Mid",4757.44802719846
"ASV_160",1,"Mid",4751.01423091799
"ASV_153",1,"Mid",4733.92301292635
"ASV_306",1,"Late",4707.44314459914
"ASV_102",1,"Mid",4519.28933228243
"ASV_8",1,"Mid",4512.50454694187
"ASV_357",1,"Post-Mission",4475.04252678887
"ASV_2",1,"Post-Mission",4461.96687198201
"ASV_703",1,"Early",4415.25965443524
"ASV_369",1,"Mid",4370.00684951574
"ASV_57",1,"Early",4350.12283297757
"ASV_395",1,"Early",4348.62802000193
"ASV_432",1,"Late",4331.01821739839
"ASV_205",1,"Late",4308.53850875371
"ASV_151",1,"Early",4292.88927910293
"ASV_33",1,"Mid",4243.93535306938
"ASV_550",1,"Late",4191.56080023215
"ASV_327",1,"Post-Mission",4153.56516010723
"ASV_275",1,"Early",4095.37908517815
"ASV_228",1,"Post-Mission",4091.97346300816
"ASV_243",1,"Early",4064.5893618778
"ASV_724",1,"Mid",4058.27294363484
"ASV_98",1,"Mid",3996.12271734886
"ASV_140",1,"Post-Mission",3970.63228174217
"ASV_118",1,"Early",3863.74385536296
"ASV_194",1,"Late",3833.32065610564
"ASV_591",1,"Early",3799.13731855767
"ASV_496",1,"Mid",3737.98547391181
"ASV_334",1,"Late",3698.80507085367
"ASV_267",1,"Mid",3692.82979942563
"ASV_444",1,"Early",3623.1163007004
"ASV_120",1,"Mid",3561.41942557241
"ASV_733",1,"Mid",3511.2878506015
"ASV_293",1,"Late",3496.52303922659
"ASV_48",1,"Mid",3464.73834589543
"ASV_516",1,"Early",3455.60148263163
"ASV_399",1,"Late",3431.59638535468
"ASV_742",1,"Post-Mission",3292.16761714816
"ASV_299",1,"Post-Mission",3263.71829080532
"ASV_101",1,"Early",3223.96126950837
"ASV_124",1,"Late",3210.30397274991
"ASV_51",1,"Early",3206.15666520071
"ASV_420",1,"Early",3185.94144876967
"ASV_164",1,"Late",3150.16022048817
"ASV_217",1,"Late",3139.49129439731
"ASV_187",1,"Post-Mission",3028.52186752629
"ASV_647",1,"Post-Mission",3021.64167042098
"ASV_85",1,"Early",2954.64453420317
"ASV_856",1,"Early",2933.33681604132
"ASV_20",1,"Early",2909.07906874228
"ASV_210",1,"Post-Mission",2844.18248148647
"ASV_184",1,"Post-Mission",2702.63345011316
"ASV_142",1,"Post-Mission",2654.80685086615
"ASV_493",1,"Post-Mission",2560.3684172358
"ASV_366",1,"Post-Mission",2472.35713711867
"ASV_242",1,"Post-Mission",2434.49492445833
"ASV_437",1,"Early",2426.96391637174
"ASV_87",1,"Post-Mission",2355.88114533727
"ASV_38",1,"Post-Mission",2355.30053489862
"ASV_946",1,"Post-Mission",2302.89508600347
"ASV_434",1,"Post-Mission",2274.73023649105
"ASV_646",1,"Post-Mission",2213.69231934282
"ASV_192",1,"Post-Mission",2111.80399930431
"ASV_1",1,"Pre-Mission",1912.25818260222
"ASV_225",1,"Pre-Mission",1912.25818260222
"ASV_491",1,"Pre-Mission",1912.25818260222
"ASV_547",1,"Pre-Mission",1912.25818260222
"ASV_56",1,"Pre-Mission",1912.25818260222
"ASV_590",1,"Pre-Mission",1912.25818260222
"ASV_603",1,"Pre-Mission",1912.25818260222
"ASV_55",1,"Pre-Mission",1902.28809989154
"ASV_767",1,"Mid",1821.29984773424
"ASV_777",1,"Mid",1813.25667778102
"ASV_176",1,"Pre-Mission",1790.42244163578
"ASV_317",1,"Pre-Mission",1790.42244163578
"ASV_339",1,"Pre-Mission",1790.42244163578
"ASV_371",1,"Pre-Mission",1790.42244163578
"ASV_68",1,"Pre-Mission",1790.42244163578
"ASV_75",1,"Pre-Mission",1790.42244163578
"ASV_780",1,"Mid",1713.18264528715
"ASV_11",1,"Pre-Mission",1569.55502129492
"ASV_30",1,"Pre-Mission",1569.55502129492
"ASV_324",1,"Pre-Mission",1569.55502129492
"ASV_83",1,"Pre-Mission",1569.55502129492
"ASV_13",1,"Pre-Mission",1519.15423515196
"ASV_1519",1,"Pre-Mission",1519.15423515196
"ASV_70",1,"Pre-Mission",1519.15423515196
"ASV_392",1,"Mid",1403.69736719591
"ASV_447",1,"Mid",1403.69736719591
"ASV_555",1,"Mid",1403.69736719591
"ASV_353",1,"Post-Mission",1381.45102992083
"ASV_214",1,"Mid",1358.27984052077
"ASV_549",1,"Mid",1189.26389341916
"ASV_470",1,"Post-Mission",1170.48362129848
"ASV_559",1,"Early",1151.21374728706
"ASV_1037",1,"Late",1072.84874417315
"ASV_583",1,"Late",1054.72919789969
"ASV_794",1,"Late",1034.0107568157
"ASV_981",1,"Late",1027.52554741509
"ASV_1014",1,"Late",995.51737525539
"ASV_126",1,"Pre-Mission",987.699447536316
"ASV_14",1,"Pre-Mission",987.699447536316
"ASV_18",1,"Pre-Mission",987.699447536316
"ASV_19",1,"Pre-Mission",987.699447536316
"ASV_260",1,"Pre-Mission",987.699447536316
"ASV_36",1,"Pre-Mission",987.699447536316
"ASV_625",1,"Pre-Mission",987.699447536316
"ASV_66",1,"Pre-Mission",987.699447536316
"ASV_546",1,"Mid",981.528930794256
"ASV_515",1,"Post-Mission",973.11775671839
"ASV_774",1,"Late",953.562477574992
"ASV_108",1,"Pre-Mission",946.697452902276
"ASV_28",1,"Pre-Mission",946.697452902276
"ASV_3",1,"Pre-Mission",946.697452902276
"ASV_34",1,"Pre-Mission",946.697452902276
"ASV_42",1,"Pre-Mission",946.697452902276
"ASV_266",1,"Late",919.770292121943
"ASV_148",1,"Post-Mission",915.134097204233
"ASV_71",1,"Post-Mission",915.134097204233
"ASV_930",1,"Late",893.662683452388
"ASV_26",1,"Post-Mission",831.604986557033
"ASV_312",1,"Late",828.49364950898
"ASV_743",1,"Late",807.473380460038
"ASV_878",1,"Late",790.353956563202
"ASV_663",1,"Mid",741.891735830364
"ASV_1067",1,"Late",737.775456470839
"ASV_539",1,"Mid",695.285848570163
"ASV_592",1,"Mid",659.073653651355
"ASV_1142",1,"Late",595.488095984133
"ASV_970",1,"Late",589.309314349309
"ASV_1114",1,"Late",586.293677674085
"ASV_887",1,"Late",586.293677674085
"ASV_989",1,"Late",585.346493261945
"ASV_1178",1,"Late",569.716536543828
"ASV_607",1,"Late",563.064706225654
"ASV_726",1,"Late",559.348149615873
"ASV_951",1,"Late",559.348149615873
"ASV_1166",1,"Late",552.568577007683
"ASV_1231",1,"Late",548.876667346212
"ASV_1270",1,"Late",539.083551626454
"ASV_431",1,"Early",528.384838759103
"ASV_325",1,"Early",525.075305893289
"ASV_113",1,"Early",513.972472355478
"ASV_1089",1,"Late",504.178581578318
"ASV_1024",1,"Late",502.619764306792
"ASV_923",1,"Post-Mission",501.501860668716
"ASV_935",1,"Post-Mission",501.501860668716
"ASV_657",1,"Early",489.499638161006
"ASV_746",1,"Late",478.259949518462
"ASV_654",1,"Mid",464.495370688576
"ASV_512",1,"Early",431.798426918874
"ASV_1320",1,"Post-Mission",419.310140532033
"ASV_929",1,"Post-Mission",419.310140532033
"ASV_779",1,"Late",412.39609973294
"ASV_846",1,"Early",407.316124649494
"ASV_234",1,"Post-Mission",395.409406471988
"ASV_656",1,"Post-Mission",395.409406471988
"ASV_937",1,"Post-Mission",395.409406471988
"ASV_1083",1,"Late",385.923508655378
"ASV_533",1,"Early",381.563363977005
"ASV_573",1,"Early",364.245495240142
"ASV_1057",1,"Early",361.64086673438
"ASV_523",1,"Early",361.64086673438
"ASV_586",1,"Early",361.64086673438
"ASV_713",1,"Early",361.64086673438
"ASV_619",1,"Early",352.822026073377
"ASV_956",1,"Early",351.942148254067
"ASV_207",1,"Early",347.94779038484
"ASV_787",1,"Early",347.94779038484
"ASV_701",1,"Early",336.847823896565
"ASV_640",1,"Early",335.063954047907
"ASV_744",1,"Early",333.952297078035
"ASV_504",1,"Mid",312.182967686573
"ASV_612",1,"Mid",312.182967686573
"ASV_711",1,"Early",307.868814974773
"ASV_896",1,"Early",307.868814974773
"ASV_316",1,"Early",298.304146927235
"ASV_725",1,"Early",295.827696123948
