"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Mid","ASV_160",38,4751.01423091799,0.000521648408972353,0.00798239443691852,0.00798239443691819
"Mid","ASV_153",15,4733.92301292635,0.000477326968973747,0.00147394817688036,0.0014739481768802
"Mid","ASV_282",37,4623.54995501197,0.000485436893203883,0.00892530359343956,0.00892530359343894
"Mid","ASV_102",63,4519.28933228243,0.00053248136315229,0.736852947582041,0.736852947582041
"Mid","ASV_8",19,4512.50454694187,0.000492125984251968,0.0536984731712979,0.0536984731712978
"Mid","ASV_196",37,4449.5779953403,0.000446428571428571,0.00433259872332011,0.00433259872331975
"Mid","ASV_157",47,4445.05750674777,0.000559284116331096,0.501763732785178,0.501763732785178
"Mid","ASV_212",39,4411.98143205758,0.00048780487804878,0.00115005911284263,0.00115005911284257
"Mid","ASV_369",19,4370.00684951574,0.000424088210347752,0.000130217014858188,0.000130217014857823
"Mid","ASV_73",57,4265.50356501961,0.000525762355415352,0.64378913421371,0.64378913421371
"Mid","ASV_671",43,4255.87738302477,0.000524109014675052,0.403028595279815,0.403028595279815
"Mid","ASV_33",21,4243.93535306938,0.000465116279069767,0.000561686083609648,0.000561686083609385
"Mid","ASV_724",30,4058.27294363484,0.000492125984251968,0.319587786396071,0.319587786396071
"Mid","ASV_98",38,3996.12271734886,0.000446030330062444,0.00104284563863185,0.00104284563863193
"Mid","ASV_25",14,3959.28289045225,0.000487329434697856,0.0266655826384338,0.0266655826384336
"Mid","ASV_298",11,3937.00535784326,0.00048030739673391,0.000511294090577122,0.000511294090577056
"Mid","ASV_496",45,3737.98547391181,0.000542888165038002,0.00663901987929963,0.00663901987929919
"Mid","ASV_267",16,3692.82979942563,0.000389105058365759,0.000280000776377777,0.000280000776377698
"Mid","ASV_120",20,3561.41942557241,0.000499001996007984,0.0565455710695629,0.0565455710695626
"Mid","ASV_733",25,3511.2878506015,0.000470366886171214,0.00687618923050355,0.00687618923050372
"Mid","ASV_414",46,3484.52063804958,0.000522739153162572,0.546017546932551,0.54601754693255
"Mid","ASV_48",30,3464.73834589543,0.000496031746031746,0.252908641861139,0.252908641861139
"Mid","ASV_666",69,2725.72320362881,0.000528541226215645,0.816660870582156,0.816660870582155
"Mid","ASV_215",68,2657.91327769668,0.000514933058702369,0.00796779891492331,0.00796779891492265
"Mid","ASV_331",75,2446.15994605473,0.000533049040511727,0.871478968893454,0.871478968893454
"Mid","ASV_377",73,1958.53906009219,0.000500751126690035,0.0133718937219218,0.0133718937219207
"Mid","ASV_767",70,1821.29984773424,5e-04,0.0130115264994004,0.0130115264993994
"Mid","ASV_777",71,1813.25667778102,5e-04,0.0131533148952987,0.0131533148952975
"Mid","ASV_920",91,1762.22009924369,0.000547045951859956,0.994671752124521,0.99467175212452
"Mid","ASV_780",90,1713.18264528715,0.000552486187845304,1,1
"Mid","ASV_971",89,1587.83891898284,0.000546149645002731,0.987202617567304,0.987202617567304
"Mid","ASV_117",88,1559.5704409885,0.000551876379690949,0.99392498215662,0.99392498215662
"Mid","ASV_456",87,1477.96437301932,0.000545553737043099,0.976780048608515,0.976780048608515
"Mid","ASV_302",87,1463.71806371315,0.000551571980143409,0.991497530658731,0.99149753065873
"Mid","ASV_392",68,1403.69736719591,0.000537634408602151,0.00915167718146428,0.00915167718146343
"Mid","ASV_447",68,1403.69736719591,0.000537634408602151,0.00915167718146403,0.00915167718146349
"Mid","ASV_555",68,1403.69736719591,0.000537634408602151,0.00915167718146419,0.00915167718146339
"Mid","ASV_214",74,1358.27984052077,0.000520833333333333,0.890500914756623,0.890500914756622
"Mid","ASV_110",73,1333.0671843003,0.000521376433785193,0.894783157599906,0.894783157599906
"Mid","ASV_549",84,1189.26389341916,0.000531914893617021,0.964292109435289,0.964292109435289
"Mid","ASV_498",81,1187.71125722686,0.000539083557951483,0.935960422356656,0.935960422356656
"Mid","ASV_632",83,1151.04567767175,0.000540248514316586,0.957751470946355,0.957751470946355
"Mid","ASV_649",87,1125.20694554771,0.000535618639528656,0.982505969378818,0.982505969378818
"Mid","ASV_307",85,1105.02923512315,0.000542005420054201,0.98081616043399,0.98081616043399
"Mid","ASV_546",81,981.528930794256,0.000539665407447383,0.959941070784604,0.959941070784605
"Mid","ASV_459",74,767.765140096386,0.000486381322957198,0.0138027867579505,0.0138027867579492
"Mid","ASV_663",72,741.891735830364,0.000486854917234664,0.0135918861174574,0.0135918861174561
"Mid","ASV_539",76,695.285848570163,0.000513874614594039,0.896635953096105,0.896635953096105
"Mid","ASV_336",74,670.827314120521,0.000518403317781234,0.896276703184314,0.896276703184314
"Mid","ASV_592",75,659.073653651355,0.000484966052376334,0.0135966847592303,0.0135966847592293
"Mid","ASV_461",71,617.885969041433,0.000473036896877956,0.0129557601957763,0.0129557601957751
"Mid","ASV_139",77,559.959768895447,0.000526592943654555,0.931098034291014,0.931098034291014
"Mid","ASV_347",74,510.325405562108,0.000482392667631452,0.0135789081272383,0.0135789081272373
"Mid","ASV_654",75,464.495370688576,0.00051975051975052,0.917878768293879,0.917878768293879
"Mid","ASV_391",72,437.850515670071,0.000524109014675052,0.890539070600055,0.890539070600055
"Mid","ASV_265",70,379.611720281101,0.000480076812289966,0.0130950325289421,0.0130950325289412
"Mid","ASV_717",71,360.425578744528,0.00051440329218107,0.886539907965543,0.886539907965542
"Mid","ASV_738",71,348.064107727615,0.000515463917525773,0.890035675926146,0.890035675926146
"Mid","ASV_188",69,324.939132954105,0.00051413881748072,0.870475617834632,0.870475617834633
"Mid","ASV_358",69,312.182967686573,0.0004739336492891,0.0128619867853213,0.01286198678532
"Mid","ASV_504",69,312.182967686573,0.0004739336492891,0.0128619867853212,0.0128619867853201
"Mid","ASV_612",69,312.182967686573,0.0004739336492891,0.0128619867853212,0.0128619867853202
"Mid","ASV_405",68,282.280770005156,0.000472366556447804,0.0127829268701715,0.0127829268701704
"Post-Mission","ASV_150",62,6425.01967226435,0.000539956803455724,0.0818374826895409,0.0818374826895408
"Post-Mission","ASV_94",87,5242.56542617086,0.000578368999421631,0.157584205568806,0.157584205568807
"Post-Mission","ASV_357",81,4475.04252678887,0.000499001996007984,0.0132951826228487,0.0132951826228487
"Post-Mission","ASV_2",83,4461.96687198201,0.000548245614035088,0.169053068126815,0.169053068126815
"Post-Mission","ASV_196",83,4429.17109909861,0.000549752611324904,0.0686985414295972,0.0686985414295976
"Post-Mission","ASV_327",79,4153.56516010723,0.000547945205479452,0.0581271142478795,0.0581271142478796
"Post-Mission","ASV_228",70,4091.97346300816,0.00054525627044711,0.235035897252763,0.235035897252763
"Post-Mission","ASV_140",101,3970.63228174217,0.000526315789473684,0.0408588841129338,0.040858884112934
"Post-Mission","ASV_212",45,3869.81684070708,0.000499251123315027,0.0156118176691722,0.0156118176691721
"Post-Mission","ASV_361",73,3802.80120757559,0.000556483027267668,0.0804843123901688,0.080484312390169
"Post-Mission","ASV_7",68,3477.2329782628,0.000542888165038002,0.40241993591948,0.40241993591948
"Post-Mission","ASV_4",76,3467.14841767603,0.000571102227298686,0.123349705409247,0.123349705409247
"Post-Mission","ASV_742",76,3292.16761714816,0.0005249343832021,0.401067993012705,0.401067993012705
"Post-Mission","ASV_299",137,3263.71829080532,0.000575705238917674,0.809372488399114,0.809372488399114
"Post-Mission","ASV_89",51,3230.4842274268,0.000503018108651912,0.0355640973795542,0.0355640973795541
"Post-Mission","ASV_313",62,3112.32816400265,0.000491159135559921,0.0673506104417459,0.0673506104417457
"Post-Mission","ASV_187",64,3028.52186752629,0.000497512437810945,0.0208245053860246,0.0208245053860247
"Post-Mission","ASV_647",102,3021.64167042098,0.000555555555555556,0.0630247654566288,0.063024765456629
"Post-Mission","ASV_210",117,2844.18248148647,0.000573394495412844,0.20591287277906,0.205912872779061
"Post-Mission","ASV_12",49,2835.25792709914,0.000530503978779841,0.0189419499243001,0.0189419499243001
"Post-Mission","ASV_69",60,2788.67630599332,0.000534188034188034,0.287816419465584,0.287816419465584
"Post-Mission","ASV_165",69,2760.99283086176,0.000554631170271769,0.370492428450064,0.370492428450064
"Post-Mission","ASV_141",75,2713.33887211738,0.000521648408972353,0.0580161204860881,0.0580161204860883
"Post-Mission","ASV_37",104,2707.96767323442,0.000555864369093941,0.615075059070959,0.615075059070959
"Post-Mission","ASV_389",51,2707.03437495422,0.000482160077145612,0.0650773546964483,0.0650773546964482
"Post-Mission","ASV_184",77,2702.63345011316,0.000512820512820513,0.0105519617322169,0.0105519617322166
"Post-Mission","ASV_245",83,2663.96068306737,0.000547645125958379,0.058331068495365,0.0583310684953652
"Post-Mission","ASV_142",70,2654.80685086615,0.00048780487804878,0.00800802709546299,0.00800802709546288
"Post-Mission","ASV_493",46,2560.3684172358,0.000470145745181006,0.0150124820641905,0.0150124820641904
"Post-Mission","ASV_366",105,2472.35713711867,0.000575373993095512,0.548216450735097,0.548216450735097
"Post-Mission","ASV_242",36,2434.49492445833,0.00048780487804878,0.0261337995579629,0.0261337995579628
"Post-Mission","ASV_162",58,2429.36919176465,0.000524658971668416,0.349239444309623,0.349239444309623
"Post-Mission","ASV_920",134,2377.56385641616,0.000574712643678161,0.828027488369596,0.828027488369596
"Post-Mission","ASV_87",72,2355.88114533727,0.000539374325782093,0.0413914619750564,0.0413914619750564
"Post-Mission","ASV_99",72,2355.88114533727,0.000539374325782093,0.0413914619750565,0.0413914619750564
"Post-Mission","ASV_38",56,2355.30053489862,0.000492368291482029,0.0164225416902173,0.0164225416902175
"Post-Mission","ASV_946",40,2302.89508600347,0.0005005005005005,0.0284623729894186,0.0284623729894185
"Post-Mission","ASV_434",95,2274.73023649105,0.000555864369093941,0.174865023702325,0.174865023702325
"Post-Mission","ASV_646",36,2213.69231934282,0.000448028673835125,0.00240007573073486,0.00240007573073477
"Post-Mission","ASV_192",109,2111.80399930431,0.000563380281690141,0.771197943843432,0.771197943843431
"Post-Mission","ASV_111",119,2111.1060034204,0.000550357732526142,0.791337562776663,0.791337562776663
"Post-Mission","ASV_353",117,1381.45102992083,0.000546149645002731,0.0834486783293998,0.0834486783294003
"Post-Mission","ASV_470",135,1170.48362129848,0.000558347292015634,0.920112454874627,0.920112454874627
"Post-Mission","ASV_372",127,1008.73870745752,0.000541711809317443,0.89785465323713,0.89785465323713
"Post-Mission","ASV_515",127,973.11775671839,0.000541711809317443,0.896804731599612,0.896804731599612
"Post-Mission","ASV_71",132,915.134097204233,0.000554016620498615,0.920698350698593,0.920698350698593
"Post-Mission","ASV_148",132,915.134097204233,0.000554016620498615,0.920698350698593,0.920698350698593
"Post-Mission","ASV_26",132,831.604986557033,0.000555247084952804,0.926153460874403,0.926153460874403
"Post-Mission","ASV_139",117,614.219646445684,0.00053850296176629,0.885376460891913,0.885376460891913
"Post-Mission","ASV_671",136,521.42843492729,0.000547345374931582,0.992129377036166,0.992129377036166
"Post-Mission","ASV_110",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_117",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_331",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_445",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_498",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_923",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_935",136,501.501860668716,0.000550964187327824,1,1
"Post-Mission","ASV_302",134,478.237033856772,0.000548847420417124,0.991546856155454,0.991546856155454
"Post-Mission","ASV_336",134,478.237033856772,0.000548847420417124,0.991546856155454,0.991546856155454
"Post-Mission","ASV_531",134,478.237033856772,0.000548847420417124,0.991546856155454,0.991546856155454
"Post-Mission","ASV_649",134,478.237033856772,0.000548847420417124,0.991546856155454,0.991546856155454
"Post-Mission","ASV_831",134,478.237033856772,0.000548847420417124,0.991546856155454,0.991546856155454
"Post-Mission","ASV_666",132,435.369527056487,0.000545851528384279,0.970771777364226,0.970771777364226
"Post-Mission","ASV_789",131,419.310140532033,0.000544959128065395,0.967587539306615,0.967587539306615
"Post-Mission","ASV_810",131,419.310140532033,0.000544959128065395,0.967587539306615,0.967587539306615
"Post-Mission","ASV_929",131,419.310140532033,0.000544959128065395,0.967587539306615,0.967587539306614
"Post-Mission","ASV_1320",131,419.310140532033,0.000544959128065395,0.967587539306615,0.967587539306614
"Post-Mission","ASV_234",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_273",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_307",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_456",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_564",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_632",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_656",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_738",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_901",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Post-Mission","ASV_937",131,395.409406471988,0.00054525627044711,0.969736498101183,0.969736498101183
"Pre-Mission","ASV_76",333,12798.2065130002,0.0011037527593819,0.834739317149583,0.834739317149582
"Pre-Mission","ASV_9",339,11148.2676975591,0.00111234705228031,0.797139146750623,0.797139146750622
"Pre-Mission","ASV_65",339,11148.2676975591,0.00111234705228031,0.797139146750623,0.797139146750622
"Pre-Mission","ASV_1",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_5",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_56",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_162",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_225",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_361",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_491",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_547",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_590",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_603",391,1912.25818260222,0.00117785630153121,1,1
"Pre-Mission","ASV_55",239,1902.28809989154,0.000999000999000999,0.175900627981807,0.175900627981805
"Pre-Mission","ASV_68",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_75",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_176",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_193",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_317",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_339",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_371",366,1790.42244163578,0.0011441647597254,0.964608075786343,0.964608075786342
"Pre-Mission","ASV_11",258,1569.55502129492,0.0010183299389002,0.241863816648838,0.241863816648836
"Pre-Mission","ASV_25",258,1569.55502129492,0.0010183299389002,0.241863816648838,0.241863816648836
"Pre-Mission","ASV_30",258,1569.55502129492,0.0010183299389002,0.241863816648838,0.241863816648836
"Pre-Mission","ASV_39",258,1569.55502129492,0.0010183299389002,0.241863816648838,0.241863816648836
"Pre-Mission","ASV_83",258,1569.55502129492,0.0010183299389002,0.241863816648838,0.241863816648836
"Pre-Mission","ASV_324",258,1569.55502129492,0.0010183299389002,0.241863816648838,0.241863816648836
"Pre-Mission","ASV_13",227,1519.15423515196,0.000989119683481701,0.70577990994715,0.70577990994715
"Pre-Mission","ASV_70",227,1519.15423515196,0.000989119683481701,0.70577990994715,0.70577990994715
"Pre-Mission","ASV_372",227,1519.15423515196,0.000989119683481701,0.70577990994715,0.70577990994715
"Pre-Mission","ASV_1519",227,1519.15423515196,0.000989119683481701,0.70577990994715,0.70577990994715
"Pre-Mission","ASV_14",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_18",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_19",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_36",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_52",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_66",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_69",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_126",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_260",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_625",302,987.699447536316,0.00106496272630458,0.315250404657224,0.315250404657222
"Pre-Mission","ASV_3",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_4",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_17",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_21",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_28",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_34",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_42",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_72",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
"Pre-Mission","ASV_108",316,946.697452902276,0.00108342361863489,0.390684503570744,0.390684503570742
